scope,espn_id,name,pos,status,wins,losses,skips,appearances,win_pct,dynasty_value,on_field_value,fair_value_2026,fair_value_dynasty
overall,4372096,Luke Schoonmaker,TE,fa,0,3,0,3,0.0,35.8,15.0,10.0,10.0
overall,4242392,Brock Wright,TE,fa,0,2,0,2,0.0,34.3,20.8,7.0,7.0
overall,4365395,Julian Hill,TE,fa,0,4,0,4,0.0,35.3,13.9,9.0,9.0
overall,4595342,Oronde Gadsden,TE,active,0,2,0,2,0.0,62.2,55.4,115.0,338.0
overall,4250764,Stone Smartt,TE,fa,0,2,0,2,0.0,30.6,9.5,0.0,0.0
overall,4372026,Cameron Latu,TE,fa,0,3,0,3,0.0,31.8,4.3,1.0,1.0
overall,3929645,Juwan Johnson,TE,fa,0,1,0,1,0.0,54.4,52.9,72.0,72.0
overall,4431487,Savion Williams,WR,fa,0,1,0,1,0.0,43.7,14.4,28.0,28.0
overall,4708486,Jimmy Horn Jr.,WR,fa,0,1,0,1,0.0,44.4,12.2,30.0,30.0
overall,4569987,Jaylen Warren,RB,extension,0,6,0,6,0.0,50.9,44.5,63.0,184.0
overall,4372019,Jerome Ford,RB,active,0,5,0,5,0.0,36.0,18.3,15.0,15.0
overall,4361516,Daniel Bellinger,TE,fa,0,4,0,4,0.0,41.5,22.8,29.0,29.0
overall,4597703,Tory Horton,WR,rookie,0,4,0,4,0.0,39.5,17.7,14.0,14.0
overall,3916204,James Proche II,WR,fa,0,2,0,2,0.0,27.7,12.8,0.0,0.0
overall,4430802,Darnell Washington,TE,fa,0,4,0,4,0.0,46.2,28.0,46.0,46.0
overall,4567156,Treylon Burks,WR,fa,0,4,0,4,0.0,34.3,12.1,0.0,0.0
overall,4430870,KeAndre Lambert-Smith,WR,fa,0,3,0,3,0.0,35.2,3.8,2.0,2.0
overall,3127292,Will Dissly,TE,fa,0,3,0,3,0.0,31.1,23.8,0.0,0.0
overall,4039505,Reggie Gilliam,RB,fa,0,2,0,2,0.0,26.4,9.3,0.0,0.0
overall,4241983,Cody White,WR,fa,0,5,0,5,0.0,31.7,10.9,0.0,0.0
overall,4401805,Dareke Young,WR,fa,0,2,0,2,0.0,30.2,8.4,0.0,0.0
overall,2991662,Mack Hollins,WR,fa,0,4,0,4,0.0,42.6,34.7,19.0,19.0
overall,3895856,Christian Kirk,WR,fa,0,2,0,2,0.0,39.8,22.9,13.0,13.0
overall,16800,Davante Adams,WR,fa,0,4,0,4,0.0,49.8,50.1,40.0,40.0
overall,3052587,Baker Mayfield,QB,active,0,2,0,2,0.0,52.8,42.3,32.0,32.0
overall,4911851,LeQuint Allen Jr.,RB,fa,0,2,0,2,0.0,44.5,9.7,48.0,48.0
overall,4430737,Kyren Williams,RB,fa,0,1,0,1,0.0,69.1,68.1,145.0,145.0
overall,4430637,Ja'lynn Polk,WR,rookie,0,6,0,6,0.0,24.8,0.8,0.0,0.0
overall,4372716,Nikko Remigio,WR,fa,0,1,0,1,0.0,39.3,13.3,13.0,13.0
overall,4569618,Garrett Wilson,WR,active,0,2,0,2,0.0,52.1,40.6,57.0,57.0
overall,4257364,Zavier Scott,RB,fa,0,2,0,2,0.0,34.6,9.1,12.0,12.0
overall,5081397,Dylan Sampson,RB,fa,0,1,0,1,0.0,49.3,20.0,69.0,69.0
overall,4039057,Lil'Jordan Humphrey,WR,fa,0,3,0,3,0.0,35.8,13.7,3.0,3.0
overall,2576581,Chris Moore,WR,fa,0,3,0,3,0.0,29.6,20.2,0.0,0.0
overall,4695883,Jalen Coker,WR,active,0,4,0,4,0.0,48.0,27.9,42.0,42.0
overall,4243537,Gabe Davis,WR,fa,0,1,0,1,0.0,36.4,19.1,5.0,5.0
overall,4711533,Ollie Gordon II,RB,fa,0,3,0,3,0.0,45.3,11.1,51.0,51.0
overall,5097554,Kameron Johnson,WR,fa,0,2,0,2,0.0,45.5,16.3,34.0,34.0
overall,4701936,Matthew Golden,WR,rookie,0,5,0,5,0.0,57.7,36.0,84.0,84.0
overall,4722893,Jaleel McLaughlin,RB,fa,0,1,0,1,0.0,34.1,13.6,11.0,11.0
overall,4240631,DeeJay Dallas,RB,fa,0,1,0,1,0.0,22.1,6.8,0.0,0.0
overall,4570037,Terrance Ferguson,TE,fa,0,1,0,1,0.0,42.0,18.0,32.0,32.0
overall,4360978,David Martin-Robinson,TE,fa,0,1,0,1,0.0,32.9,11.2,3.0,3.0
overall,14880,Kirk Cousins,QB,fa,0,1,0,1,0.0,35.4,35.1,0.0,0.0
overall,3126486,Deebo Samuel,WR,fa,0,3,0,3,0.0,54.9,48.5,62.0,62.0
overall,2983509,Dare Ogunbowale,RB,fa,0,4,0,4,0.0,26.0,6.7,0.0,0.0
overall,4695193,Efton Chism III,WR,fa,0,2,0,2,0.0,37.2,12.3,7.0,7.0
overall,4036335,Cedrick Wilson Jr.,WR,fa,0,4,0,4,0.0,29.3,12.7,0.0,0.0
overall,4613104,Malachi Corley,WR,fa,0,4,0,4,0.0,38.0,5.9,9.0,9.0
overall,4430656,Myles Price,WR,fa,0,2,0,2,0.0,46.5,12.3,38.0,38.0
overall,4429148,Theo Johnson,TE,fa,0,3,0,3,0.0,50.6,38.7,63.0,63.0
overall,4360763,Brycen Tremayne,WR,fa,0,4,0,4,0.0,46.1,15.4,35.0,35.0
overall,2577327,Tyler Lockett,WR,fa,0,1,0,1,0.0,38.6,25.6,9.0,9.0
overall,4241372,Hollywood Brown,WR,active,0,2,0,2,0.0,46.2,39.5,31.0,31.0
overall,4428678,Jamari Thrash,WR,fa,0,3,0,3,0.0,34.6,8.4,1.0,1.0
overall,4361777,Zamir White,RB,fa,0,2,0,2,0.0,23.1,3.8,0.0,0.0
overall,4688813,Josh Downs,WR,rookie,0,4,0,4,0.0,55.4,33.7,72.0,72.0
overall,3121422,Terry McLaurin,WR,extension,0,6,0,6,0.0,45.1,43.9,26.0,102.0
overall,4722908,Drew Ogletree,TE,fa,0,2,0,2,0.0,31.7,12.2,1.0,1.0
overall,3871102,David Sills V,WR,fa,0,4,0,4,0.0,26.6,10.1,0.0,0.0
overall,3050481,Tanner Hudson,TE,fa,0,3,0,3,0.0,32.3,23.0,2.0,2.0
overall,4035693,Velus Jones Jr.,RB,fa,0,1,0,1,0.0,19.8,7.5,0.0,0.0
overall,4428718,Tre Tucker,WR,active,0,3,0,3,0.0,57.1,35.3,79.0,155.0
overall,3916430,Nyheim Hines,RB,fa,0,1,0,1,0.0,19.3,13.0,0.0,0.0
overall,4039050,Devin Duvernay,WR,fa,0,2,0,2,0.0,35.0,6.4,1.0,1.0
overall,14163,Tyrod Taylor,QB,fa,0,2,0,2,0.0,23.8,24.2,0.0,0.0
overall,4686472,Marvin Mims,WR,active,0,5,0,5,0.0,53.2,28.2,64.0,126.0
overall,4241479,Tua Tagovailoa,QB,fa,0,1,0,1,0.0,59.4,52.0,60.0,60.0
overall,4061956,Ashton Dulin,WR,fa,0,2,0,2,0.0,34.2,16.6,0.0,0.0
overall,12483,Matthew Stafford,QB,fa,0,1,1,2,0.0,57.1,63.2,43.0,43.0
overall,4685279,Jaydon Blue,RB,rookie,0,2,0,2,0.0,27.2,8.1,0.0,0.0
overall,4569382,Jordan Whittington,WR,fa,0,1,0,1,0.0,47.3,19.6,41.0,41.0
overall,4690013,Rasheen Ali,RB,fa,0,2,1,3,0.0,33.9,8.1,11.0,11.0
overall,4430191,Skyy Moore,WR,fa,0,1,0,1,0.0,42.7,13.2,24.0,24.0
overall,3115306,Josh Reynolds,WR,fa,0,2,0,2,0.0,25.9,19.0,0.0,0.0
overall,4596439,Dominic Lovett,WR,fa,0,1,0,1,0.0,42.0,10.2,22.0,22.0
overall,4243003,Ronnie Rivers,RB,fa,0,2,0,2,0.0,29.2,12.1,0.0,0.0
overall,3676833,KaVontae Turpin,WR,fa,0,1,0,1,0.0,42.1,26.5,19.0,19.0
overall,4429059,Woody Marks,RB,rookie,0,3,0,3,0.0,47.3,31.0,53.0,53.0
overall,3123075,Braxton Berrios,WR,fa,0,1,0,1,0.0,25.1,18.3,0.0,0.0
overall,4362478,Emari Demercado,RB,fa,0,1,0,1,0.0,39.3,22.3,26.0,26.0
overall,4426553,Davis Allen,TE,fa,0,1,0,1,0.0,37.8,15.4,17.0,17.0
overall,4249417,Jalen Tolbert,WR,fa,0,1,0,1,0.0,47.0,23.2,38.0,38.0
overall,16002,Kyle Juszczyk,RB,fa,0,4,0,4,0.0,30.8,17.0,2.0,2.0
overall,4424106,Gunner Olszewski,WR,fa,0,1,0,1,0.0,30.8,9.6,0.0,0.0
overall,4432731,Moliki Matavao,TE,fa,0,2,0,2,0.0,23.0,1.1,0.0,0.0
overall,3049698,Anthony Firkser,TE,fa,0,2,0,2,0.0,16.5,12.5,0.0,0.0
overall,3116389,Samaje Perine,RB,fa,0,1,0,1,0.0,37.4,22.8,18.0,18.0
overall,3126997,Tom Kennedy,WR,fa,0,1,0,1,0.0,25.3,18.9,0.0,0.0
overall,4035537,Kene Nwangwu,RB,fa,0,1,0,1,0.0,24.9,9.1,0.0,0.0
overall,4686422,Xavier Hutchinson,WR,fa,0,2,0,2,0.0,47.0,17.1,39.0,39.0
overall,4429501,Ray Davis,RB,fa,0,1,0,1,0.0,43.1,19.9,39.0,39.0
overall,3886598,J Jennings,WR,extension,0,3,0,3,0.0,49.7,40.8,43.0,125.0
overall,11394,Josh Johnson,QB,fa,0,1,0,1,0.0,17.8,21.2,0.0,0.0
overall,4710855,Konata Mumpfield,WR,fa,0,2,0,2,0.0,46.0,8.7,36.0,36.0
overall,2580216,DeAndre Carter,WR,fa,0,1,0,1,0.0,17.0,13.1,0.0,0.0
overall,4612826,Ladd McConkey,WR,rookie,0,6,0,6,0.0,65.8,50.6,119.0,119.0
overall,3914397,Scotty Miller,WR,fa,0,2,0,2,0.0,30.9,9.2,0.0,0.0
overall,3843945,Foster Moreau,TE,fa,0,4,0,4,0.0,32.6,20.7,3.0,3.0
overall,4036133,TJ Hockenson,TE,extension,0,1,0,1,0.0,48.9,50.0,50.0,147.0
overall,4635008,Keon Coleman,WR,rookie,0,3,0,3,0.0,55.7,34.3,76.0,76.0
overall,4690070,Mitchell Tinsley,WR,fa,0,2,0,2,0.0,41.2,4.9,18.0,18.0
overall,4608810,Tez Johnson,WR,fa,0,2,0,2,0.0,52.7,23.5,63.0,63.0
overall,3917668,Alec Ingold,RB,fa,0,1,0,1,0.0,26.3,6.0,0.0,0.0
overall,4360761,Michael Wilson,WR,fa,0,1,0,1,0.0,59.8,39.2,91.0,91.0
overall,4573697,Mason Tipton,WR,fa,0,2,0,2,0.0,38.8,5.8,11.0,11.0
overall,2576980,Marcus Mariota,QB,fa,0,3,0,3,0.0,43.1,40.8,4.0,4.0
overall,4678008,Jonathan Brooks,RB,rookie,0,2,0,2,0.0,29.1,14.5,0.0,0.0
overall,4575131,Jacory Croskey-Merritt,RB,fa,0,2,0,2,0.0,51.0,30.0,70.0,70.0
overall,4035538,David Montgomery,RB,fa,0,2,0,2,0.0,54.0,50.9,74.0,74.0
overall,4682652,Devin Neal,RB,active,0,2,0,2,0.0,38.1,17.2,24.0,24.0
overall,4685278,Luther Burden III,WR,rookie,0,1,0,1,0.0,54.6,28.3,71.0,71.0
overall,15818,Keenan Allen,WR,fa,0,3,0,3,0.0,47.3,44.9,32.0,32.0
overall,3917792,Daniel Jones,QB,active,0,2,0,2,0.0,54.3,50.3,39.0,39.0
overall,3917315,Kyler Murray,QB,fa,0,1,1,2,0.0,48.9,48.5,21.0,21.0
overall,3916148,Tony Pollard,RB,active,0,2,0,2,0.0,48.9,42.9,54.0,54.0
overall,4212909,David Moore,WR,fa,0,2,0,2,0.0,21.0,11.3,0.0,0.0
overall,16460,Adam Thielen,WR,fa,0,5,0,5,0.0,34.0,24.6,0.0,0.0
overall,3059722,Zay Jones,WR,fa,0,1,0,1,0.0,26.1,16.7,0.0,0.0
overall,4241463,Jerry Jeudy,WR,active,0,5,0,5,0.0,50.6,31.0,49.0,96.0
overall,4431268,Chimere Dike,WR,active,0,4,0,4,0.0,53.1,25.7,63.0,184.0
overall,4597500,Adonai Mitchell,WR,active,0,1,0,1,0.0,47.3,14.5,40.0,157.0
overall,16731,Brandin Cooks,WR,fa,0,1,0,1,0.0,35.9,23.6,3.0,3.0
overall,4383396,Hunter Luepke,RB,fa,0,2,0,2,0.0,39.5,14.8,27.0,27.0
overall,4565185,Tai Felton,WR,fa,0,1,0,1,0.0,45.1,7.1,33.0,33.0
overall,4596334,Keaton Mitchell,RB,fa,0,2,0,2,0.0,41.9,22.5,37.0,37.0
overall,4243389,Calvin Austin III,WR,fa,0,1,0,1,0.0,47.1,22.2,38.0,38.0
overall,4239993,Tee Higgins,WR,extension,0,2,0,2,0.0,56.0,46.9,69.0,263.0
overall,4429023,Marshawn Lloyd,RB,rookie,0,4,0,4,0.0,20.0,7.1,0.0,0.0
overall,4430034,Xavier Legette,WR,fa,0,1,0,1,0.0,50.4,22.5,53.0,53.0
overall,4429013,Tank Bigsby,RB,fa,0,1,0,1,0.0,45.2,17.3,49.0,49.0
overall,4808839,Isaiah Bond,WR,fa,0,1,0,1,0.0,44.8,7.4,32.0,32.0
overall,4369466,Ryan Miller,WR,fa,0,1,0,1,0.0,39.2,7.7,12.0,12.0
overall,4362887,Justin Fields,QB,fa,0,2,0,2,0.0,51.7,45.9,31.0,31.0
overall,4239934,AJ Dillon,RB,fa,0,1,0,1,0.0,28.6,22.1,0.0,0.0
overall,4373626,Tyler Allgeier,RB,active,0,4,0,4,0.0,44.2,26.2,41.0,120.0
overall,4429684,Anthony Gould,WR,fa,0,1,0,1,0.0,36.1,9.9,4.0,4.0
overall,4372780,Tommy Tremble,TE,fa,0,1,0,1,0.0,42.4,24.5,31.0,31.0
overall,4360438,Brandon Aiyuk,WR,active,0,1,0,1,0.0,42.9,49.0,22.0,22.0
overall,4887558,Emanuel Wilson,RB,fa,0,2,0,2,0.0,43.8,24.2,40.0,40.0
overall,4241374,Grant Calcaterra,TE,fa,0,1,0,1,0.0,34.2,15.5,6.0,6.0
overall,4686612,Tre Harris,WR,rookie,0,4,1,5,0.0,49.7,19.0,49.0,49.0
overall,5082630,Jalen Royals,WR,fa,0,1,0,1,0.0,36.0,11.5,4.0,4.0
overall,4372758,Kevin Austin Jr.,WR,fa,0,1,0,1,0.0,33.8,10.1,0.0,0.0
overall,8439,Aaron Rodgers,QB,fa,0,2,0,2,0.0,37.4,36.4,0.0,0.0
overall,4427095,Demario Douglas,WR,active,0,2,0,2,0.0,55.4,33.5,71.0,71.0
overall,3128390,Allen Lazard,WR,fa,0,1,0,1,0.0,34.0,19.8,0.0,0.0
overall,2973405,Kalif Raymond,WR,fa,0,1,0,1,0.0,34.3,20.5,0.0,0.0
overall,4259305,Bo Melton,WR,fa,0,2,0,2,0.0,38.3,9.5,10.0,10.0
overall,4362619,Chris Rodriguez Jr.,RB,fa,0,1,0,1,0.0,42.4,28.2,37.0,37.0
overall,4431545,Will Shipley,RB,fa,0,1,0,1,0.0,35.5,7.0,16.0,16.0
overall,3134353,Tim Patrick,WR,fa,0,2,0,2,0.0,33.1,19.1,0.0,0.0
overall,4362249,Jayden Reed,WR,fa,0,1,0,1,0.0,48.5,33.7,44.0,44.0
overall,4429086,Michael Mayer,TE,fa,0,2,0,2,0.0,41.3,23.5,28.0,28.0
overall,4040715,Jalen Hurts,QB,active,0,3,0,3,0.0,68.5,66.4,98.0,98.0
overall,4819231,Kaleb Johnson,RB,active,0,4,0,4,0.0,29.5,1.4,1.0,3.0
overall,4428085,Luke Musgrave,TE,fa,0,1,0,1,0.0,38.4,16.0,19.0,19.0
overall,4035656,Ben Skowronek,WR,fa,0,1,0,1,0.0,33.7,10.7,0.0,0.0
overall,4360569,Jordan Mason,RB,active,0,2,0,2,0.0,45.2,36.0,44.0,86.0
overall,4240657,Michael Carter,RB,fa,0,1,0,1,0.0,33.9,17.9,10.0,10.0
overall,4379401,John FitzPatrick,TE,fa,0,1,0,1,0.0,31.5,13.4,1.0,1.0
overall,4426386,Roschon Johnson,RB,fa,0,1,0,1,0.0,32.8,15.2,8.0,8.0
overall,4613202,Kyle Williams,WR,fa,0,1,0,1,0.0,49.6,15.2,50.0,50.0
overall,4432773,Brian Thomas Jr.,WR,rookie,0,3,0,3,0.0,61.5,42.5,101.0,101.0
overall,16737,Mike Evans,WR,active,0,3,0,3,0.0,36.0,36.1,3.0,6.0
overall,4360516,Tyrone Tracy,RB,active,0,4,0,4,0.0,47.3,35.4,52.0,52.0
overall,4689114,Jaxson Dart,QB,active,0,2,0,2,0.0,63.5,55.0,79.0,236.0
overall,4433970,JJ McCarthy,QB,practice_squad,0,2,0,2,0.0,38.9,19.3,0.0,0.0
overall,4569587,Wan'Dale Robinson,WR,active,0,1,0,1,0.0,60.4,43.4,93.0,183.0
overall,3117256,Dalton Schultz,TE,active,0,2,0,2,0.0,51.4,51.8,58.0,58.0
overall,4361370,Chris Olave,WR,active,0,2,0,2,0.0,58.0,44.6,81.0,307.0
overall,4047650,DK Metcalf,WR,active,0,1,0,1,0.0,56.2,49.8,67.0,67.0
overall,4429025,Quentin Johnston,WR,active,0,1,0,1,0.0,56.2,36.5,76.0,76.0
overall,3046779,Jared Goff,QB,active,0,2,0,2,0.0,67.3,69.9,87.0,173.0
overall,4608686,Kyle Monangai,RB,active,0,1,0,1,0.0,55.3,38.6,88.0,335.0
overall,3043078,Derrick Henry,RB,extension,0,1,0,1,0.0,64.4,74.5,107.0,319.0
overall,4569173,Rhamondre Stevenson,RB,fa,0,2,0,2,0.0,51.9,47.0,68.0,68.0
overall,4036131,Noah Fant,TE,fa,0,1,0,1,0.0,45.7,36.1,41.0,41.0
overall,2573401,Tyler Higbee,TE,fa,0,1,0,1,0.0,33.3,37.4,4.0,4.0
season,3918298,Josh Allen,QB,active,31,0,0,31,100.0,74.5,80.0,121.0,357.0
season,4426515,Puka Nacua,WR,active,23,0,0,23,100.0,79.4,79.5,184.0,703.0
season,4431452,Drake Maye,QB,rookie,15,0,0,15,100.0,75.5,74.7,134.0,134.0
season,3117251,Christian McCaffrey,RB,fa,3,0,0,3,100.0,66.3,79.7,119.0,119.0
season,4038941,Justin Herbert,QB,fa,3,0,0,3,100.0,63.5,55.7,77.0,77.0
season,4242546,Davis Mills,QB,fa,1,0,0,1,100.0,28.8,14.1,0.0,0.0
season,4428850,Dontayvion Wicks,WR,fa,1,0,0,1,100.0,49.0,19.9,47.0,47.0
season,4430807,Bijan Robinson,RB,rookie,62,0,1,63,98.4,86.7,97.1,231.0,231.0
season,4430878,Jaxon Smith-Njigba,WR,rookie,43,1,0,44,97.7,80.9,75.9,195.0,195.0
season,3915511,Joe Burrow,QB,fa,21,0,1,22,95.5,56.3,56.3,47.0,47.0
season,4429615,Zay Flowers,WR,rookie,67,4,0,71,94.4,67.9,56.5,125.0,125.0
season,4431459,Tyler Warren,TE,rookie,31,2,0,33,93.9,71.3,71.1,155.0,155.0
season,3040151,George Kittle,TE,active,44,2,1,47,93.6,67.2,93.1,113.0,224.0
season,4262921,Justin Jefferson,WR,active,28,2,0,30,93.3,64.4,56.6,105.0,105.0
season,4361307,Trey McBride,TE,active,28,2,0,30,93.3,77.5,90.0,175.0,175.0
season,4429795,Jahmyr Gibbs,RB,rookie,14,0,1,15,93.3,88.3,99.7,240.0,240.0
season,4696981,cam skattebo,RB,rookie,11,1,0,12,91.7,45.9,41.5,50.0,50.0
season,4047646,AJ Brown,WR,extension,13,1,1,15,86.7,60.5,60.6,83.0,392.0
season,4567048,Kenneth Walker III,RB,extension,12,1,1,14,85.7,57.1,51.1,90.0,263.0
season,4427366,Breece Hall,RB,active,17,3,0,20,85.0,65.0,61.6,125.0,125.0
season,4685382,Omarion Hampton,RB,rookie,17,2,1,20,85.0,54.8,51.3,87.0,87.0
season,4576297,AJ Barner,TE,fa,16,3,0,19,84.2,54.7,39.6,81.0,81.0
season,4372414,Elijah Moore,WR,fa,5,1,0,6,83.3,41.3,15.9,19.0,19.0
season,5083076,harold fannin,TE,rookie,14,3,0,17,82.4,60.3,48.2,108.0,108.0
season,4429160,Devon Achane,RB,rookie,18,3,1,22,81.8,76.7,81.0,180.0,180.0
season,3139477,Patrick Mahomes,QB,active,29,6,1,36,80.6,70.1,76.4,100.0,100.0
season,4361432,Romeo Doubs,WR,active,14,4,0,18,77.8,58.0,42.9,81.0,81.0
season,3915416,DJ Moore,WR,extension,7,2,0,9,77.8,52.5,43.2,52.0,201.0
season,4035687,Michael Pittman,WR,active,15,5,0,20,75.0,55.6,47.3,64.0,64.0
season,4426502,Drake London,WR,active,12,3,1,16,75.0,63.2,50.8,106.0,106.0
season,4685472,Tet McMillain,WR,rookie,9,3,0,12,75.0,67.4,49.2,129.0,129.0
season,4690143,LaJohntay Wester,WR,fa,3,1,0,4,75.0,46.7,10.9,39.0,39.0
season,4241389,Ceedee Lamb,WR,active,3,0,1,4,75.0,64.8,60.3,106.0,106.0
season,4432620,Parker Washington,WR,active,3,1,0,4,75.0,53.5,29.0,65.0,191.0
season,4596448,Bucky Irving,RB,active,17,5,1,23,73.9,56.0,49.0,91.0,179.0
season,4242335,Jonathan Taylor,RB,extension,8,3,0,11,72.7,71.0,81.7,142.0,553.0
season,3046439,Hunter Henry,TE,active,7,3,0,10,70.0,56.3,64.9,73.0,73.0
season,4426348,Jayden Daniels,QB,rookie,16,7,0,23,69.6,53.6,50.0,38.0,38.0
season,4429275,Trey Benson,RB,fa,4,2,0,6,66.7,40.2,31.0,31.0,31.0
season,4691688,Robbie Ouzts,RB,fa,2,1,0,3,66.7,35.7,4.9,17.0,17.0
season,4259147,Jake Tonges,TE,fa,2,1,0,3,66.7,48.4,34.1,52.0,52.0
season,4426354,George Pickens,WR,active,2,1,0,3,66.7,75.2,69.5,162.0,320.0
season,4808766,Mason Taylor,TE,rookie,3,2,0,5,60.0,53.3,40.7,76.0,76.0
season,4432665,Brock Bowers,TE,rookie,5,3,1,9,55.6,70.7,74.7,154.0,154.0
season,4038815,Rico Dowdle,RB,active,4,4,0,8,50.0,52.1,46.6,67.0,132.0
season,4426385,Zach Charbonnet,RB,rookie,2,2,0,4,50.0,51.9,38.6,71.0,71.0
season,3116406,Tyreek Hill,WR,extension,2,2,0,4,50.0,41.1,50.6,15.0,44.0
season,3916387,Lamar Jackson,QB,active,1,1,0,2,50.0,66.8,68.1,88.0,88.0
season,4428209,Ricky Pearsall,WR,rookie,4,5,0,9,44.4,45.3,31.0,32.0,32.0
season,4362238,Chase Brown,RB,rookie,2,2,1,5,40.0,60.1,55.7,101.0,101.0
season,4372016,Jaylen Waddle,WR,active,2,0,3,5,40.0,60.6,53.3,87.0,87.0
season,3128429,Cortland Sutton,WR,active,1,2,0,3,33.3,54.6,52.7,57.0,113.0
season,4430539,Brenton Strange,TE,fa,1,2,0,3,33.3,52.3,43.6,70.0,70.0
season,4374302,Amon Ra,WR,active,1,2,0,3,33.3,78.1,78.9,169.0,169.0
season,4426388,Jameson Williams,WR,active,1,2,0,3,33.3,64.1,49.7,110.0,110.0
season,4242355,Jake Ferguson,TE,active,2,5,0,7,28.6,55.2,52.8,76.0,76.0
season,3051876,Evan Engram,TE,fa,1,3,0,4,25.0,44.7,43.5,35.0,35.0
season,4431280,Troy Franklin,WR,active,1,3,0,4,25.0,54.9,27.4,72.0,143.0
season,4429022,Kayshon Boutte,WR,active,1,3,0,4,25.0,58.3,38.5,86.0,252.0
season,3123076,David Njoku,TE,active,1,3,0,4,25.0,41.3,41.1,24.0,24.0
season,4685720,Bryce Young,QB,fa,1,4,0,5,20.0,47.4,24.1,16.0,16.0
season,4429205,Jordan Addison,WR,rookie,1,4,0,5,20.0,56.6,36.1,78.0,78.0
season,4567750,Emeka Egbuka,WR,rookie,1,4,1,6,16.7,63.4,42.8,109.0,109.0
season,3039707,Mitchell Trubisky,QB,fa,1,6,0,7,14.3,25.4,17.8,0.0,0.0
season,2577417,Dak Prescott,QB,active,1,6,0,7,14.3,61.8,66.7,63.0,126.0
season,4715355,Darius Cooper,WR,fa,0,0,1,1,0.0,40.6,6.3,17.0,17.0
season,4240021,Cam Akers,RB,fa,0,1,1,2,0.0,27.6,13.6,0.0,0.0
season,4240603,Malik Davis,RB,fa,0,2,0,2,0.0,31.2,14.9,4.0,4.0
season,4366963,Dylan Laube,RB,fa,0,2,0,2,0.0,29.5,3.1,1.0,1.0
season,14012,Andy Dalton,QB,fa,0,2,0,2,0.0,19.2,19.4,0.0,0.0
season,4241424,Tylan Wallace,WR,fa,0,2,0,2,0.0,36.4,9.6,4.0,4.0
season,4685247,Braelon Allen,RB,active,0,4,0,4,0.0,32.7,13.5,8.0,23.0
season,3139602,D'Ernest Johnson,RB,fa,0,4,0,4,0.0,19.1,2.8,0.0,0.0
season,4371733,Kenneth Gainwell,RB,active,0,4,0,4,0.0,45.6,32.8,45.0,88.0
season,4243176,Brady Russell,RB,fa,0,2,0,2,0.0,32.8,9.1,7.0,7.0
season,4372071,Hassan Haskins,RB,fa,0,2,0,2,0.0,29.1,5.8,0.0,0.0
season,4568490,Rj Harvey,RB,rookie,0,1,0,1,0.0,53.3,40.0,76.0,76.0
season,4361529,Isaiah Pacheco,RB,extension,0,4,0,4,0.0,38.6,28.4,23.0,66.0
season,4570561,Eric Gray,RB,fa,0,2,0,2,0.0,21.4,4.8,0.0,0.0
season,3915411,Ty Johnson,RB,fa,0,5,0,5,0.0,40.7,24.1,29.0,29.0
season,4430968,Kimani Vidal,RB,fa,0,3,0,3,0.0,46.7,30.8,54.0,54.0
season,4421446,Craig Reynolds,RB,fa,0,2,0,2,0.0,19.0,8.7,0.0,0.0
season,3125107,Andrew Beck,RB,fa,0,2,0,2,0.0,23.7,4.1,0.0,0.0
season,4259545,DeAndre Swift,RB,active,0,2,0,2,0.0,58.4,56.9,91.0,91.0
season,4429939,Jawhar Jordan,RB,fa,0,2,0,2,0.0,25.3,17.7,0.0,0.0
season,4912274,Sione Vaki,RB,fa,0,2,0,2,0.0,31.6,9.8,5.0,5.0
season,2576336,Ameer Abdullah,RB,fa,0,2,0,2,0.0,30.6,18.4,2.0,2.0
season,4241401,Trey Sermon,RB,fa,0,3,0,3,0.0,22.5,8.1,0.0,0.0
season,3929914,Adam Prentice,RB,fa,0,1,0,1,0.0,24.6,4.8,0.0,0.0
season,4697815,Rachaad White,RB,active,0,1,0,1,0.0,52.2,45.4,68.0,68.0
season,4569609,Evan Hull,RB,fa,0,1,0,1,0.0,23.1,2.8,0.0,0.0
season,4241474,Brian Robinson,RB,active,0,6,0,6,0.0,42.9,28.9,36.0,36.0
season,4428557,Tyjae Spears,RB,rookie,0,4,0,4,0.0,43.1,27.0,39.0,39.0
season,4882093,Bayshul Tuten,RB,rookie,0,4,0,4,0.0,44.8,23.8,46.0,46.0
season,4362452,Jaret Patterson,RB,fa,0,1,0,1,0.0,26.6,16.6,0.0,0.0
season,3042519,Aaron Jones Sr.,RB,fa,0,4,0,4,0.0,42.6,39.0,33.0,33.0
season,4429096,Blake Corum,RB,fa,0,1,0,1,0.0,45.3,21.3,48.0,48.0
season,4047365,Josh Jacobs,RB,extension,0,3,0,3,0.0,55.7,56.2,79.0,233.0
season,4372561,Isaac Guerendo,RB,fa,0,2,0,2,0.0,37.9,15.2,22.0,22.0
season,4427600,Terrell Jennings,RB,fa,0,2,0,2,0.0,29.5,11.9,1.0,1.0
season,4695404,Isaiah Davis,RB,fa,0,3,0,3,0.0,45.2,21.6,49.0,49.0
season,2576414,Raheem Mostert,RB,fa,0,1,0,1,0.0,32.8,25.4,7.0,7.0
season,4596602,Brashard Smith,RB,fa,0,2,0,2,0.0,45.1,13.2,50.0,50.0
season,4012556,C.J. Ham,RB,fa,0,1,0,1,0.0,17.7,4.3,0.0,0.0
