timestamp,espn_id,valuation
2026-07-06T03:58:31Z,4361529,25.0
2026-07-06T04:00:51Z,2576336,0.0
2026-07-06T04:07:30Z,4361409,0.0
2026-07-06T04:07:45Z,4241476,0.0
2026-07-06T04:07:55Z,4428796,0.0
2026-07-06T04:08:25Z,3061612,0.0
2026-07-06T04:08:41Z,3120348,0.0
2026-07-06T04:08:55Z,3926231,0.0
2026-07-06T04:09:08Z,4386544,0.0
2026-07-06T04:09:15Z,4057082,0.0
2026-07-06T04:09:29Z,2310331,0.0
2026-07-06T04:09:50Z,3930066,0.0
2026-07-06T04:10:00Z,4569559,0.0
2026-07-06T04:10:06Z,4360405,0.0
2026-07-06T04:10:14Z,4363551,0.0
2026-07-06T04:10:19Z,4043016,0.0
2026-07-06T04:10:25Z,4241476,0.0
2026-07-06T04:10:31Z,4374187,0.0
2026-07-06T04:10:35Z,4431466,0.0
2026-07-06T04:10:40Z,4257188,0.0
2026-07-06T04:10:49Z,3127306,0.0
2026-07-06T04:10:56Z,3919510,0.0
2026-07-06T04:11:08Z,3051738,0.0
2026-07-06T04:11:13Z,3929785,0.0
2026-07-06T04:11:44Z,3121427,0.0
2026-07-06T04:11:55Z,3886809,0.0
2026-07-06T04:11:59Z,4241424,0.0
2026-07-06T04:12:45Z,3116407,0.0
2026-07-06T04:13:21Z,3039707,0.0
2026-07-06T04:13:35Z,3886812,0.0
2026-07-06T04:14:18Z,2573079,0.0
2026-07-06T04:15:18Z,4239944,0.0
2026-07-06T04:15:21Z,4361088,0.0
2026-07-06T04:15:24Z,3052897,0.0
2026-07-06T04:15:58Z,4040612,0.0
2026-07-06T04:16:07Z,3052096,0.0
2026-07-06T04:16:14Z,4241961,0.0
2026-07-06T04:16:26Z,2468609,0.0
2026-07-06T04:16:58Z,4383440,0.0
2026-07-06T04:17:11Z,4048228,0.0
2026-07-06T04:17:30Z,4608362,0.0
2026-07-06T04:18:32Z,3921690,0.0
2026-07-06T04:18:52Z,4360967,0.0
2026-07-06T04:18:59Z,4045305,0.0
2026-07-06T04:19:23Z,4360086,0.0
2026-07-06T04:36:32Z,11252,0.0
2026-07-06T04:36:39Z,4036335,0.0
2026-07-06T04:40:00Z,2983509,0.0
2026-07-06T04:40:06Z,16002,0.0
